id,district_name,arrondissement,population,area
1,St-Germain-l'Auxerrois,1,1672,869000.6645825924
2,Halles,1,8984,412458.4963380021
3,Palais-Royal,1,3195,273696.7933063969
4,Place-Vendôme,1,3044,269456.78060453135
5,Gaillon,2,1345,188012.2038546028
6,Vivienne,2,2917,243550.7706284212
7,Mail,2,5783,278142.5850900382
8,Bonne-Nouvelle,2,9595,281448.206583171
9,Arts-et-Metiers,3,9560,318087.7404613165
10,Enfants-Rouges,3,8562,271750.3239425683
11,Archives,3,8609,367728.3868751294
12,Sainte-Avoie,3,7501,213316.35151509708
13,Saint-Merri,4,6523,313040.39655653463
14,Saint-Gervais,4,10587,422028.1713341755
15,Arsenal,4,9474,487264.93708167045
16,Notre-Dame,4,4087,378252.1536826804
17,Saint-Victor,5,11661,604156.0729089016
18,Jardin-des-Plantes,5,18005,798389.3984803602
19,Val-de-Grace,5,19492,703631.162938281
20,Sorbonne,5,9683,433197.7924495476
21,Monnaie,6,6185,293360.57231806515
22,Odeon,6,8833,716148.3510464504
23,Notre-Dame-des-Champs,6,24731,861307.0378448075
24,Saint-Germain-des-Prés,6,5154,282279.9398699831
25,Saint-Thomas-d'Aquin,7,12661,826559.4367982848
26,Invalides,7,6276,1073733.7689716462
27,Ecole-Militaire,7,12895,807870.766599883
28,Gros-Caillou,7,25156,1381893.2764813944
29,Champs-Elysées,8,4614,1140253.991895891
30,Faubourg-du-Roule,8,10038,796589.0516684654
31,Madeleine,8,6045,760726.5581535321
32,Europe,8,18606,1182466.9650159332
33,Saint-Georges,9,20850,717091.5696592141
34,Chaussée-d'Antin,9,3488,543441.1677229658
35,Faubourg-Montmartre,9,9233,417335.0806299857
36,Rochechouart,9,22212,500435.41497528495
37,Saint-Vincent-de-Paul,10,21624,926865.2297968069
38,Porte-Saint-Denis,10,15066,472113.5999060942
39,Porte-Saint-Martin,10,23125,609034.6544645189
40,Hôpital-Saint-Louis,10,29870,883726.0025188364
41,Folie-Méricourt,11,33002,725752.491056773
42,Saint-Ambroise,11,32168,837992.9215856283
43,Roquette,11,47520,1172086.943882637
44,Sainte-Marguerite,11,36476,929609.2417116441
45,Bel-Air,12,33976,5970920.502660769
46,Picpus,12,62947,7205014.420161385
47,Bercy,12,13987,1902932.2018501684
48,Quinze-Vingts,12,25752,1235915.6781435981
49,Salpêtrière,13,18246,1181560.2674588356
50,Gare,13,69008,3044177.514928128
51,Maison-Blanche,13,64797,2231505.7611715416
52,Croulebarbe,13,19526,692067.711106897
53,Montparnasse,14,18570,1126205.4067685513
54,Parc-de-Montsouris,14,19793,1357950.3903440316
55,Petit-Montrouge,14,37230,1345774.2646327703
56,Plaisance,14,57229,1784947.8675984638
57,Saint-Lambert,15,82032,2829201.554115858
58,Necker,15,46932,1578484.1899442892
59,Grenelle,15,47411,1478299.0519384926
60,Javel 15Art,15,49092,2609009.455787123
61,Auteuil,16,67967,6383887.7844574265
62,Muette,16,45214,5477898.300604411
63,Porte-Dauphine,16,27423,3086718.4326984733
64,Chaillot,16,21213,1424035.2362315243
65,Ternes,17,39137,1465070.906739448
66,Plaine de Monceaux,17,38958,1383507.6989009592
67,Batignolles,17,38691,1441710.870419571
68,Epinettes,17,44352,1378544.9478322896
69,Grandes-Carrières,18,67152,1905565.8702042617
70,Clignancourt,18,64868,1653715.1626287303
71,Goutte-d'Or,18,28524,1089225.579775532
72,La Chapelle,18,24037,1347544.549705575
73,Villette,19,53650,1285705.012417584
74,Pont-de-Flandre,19,24584,2376238.1300390847
75,Amérique,19,55365,1835720.274971889
76,Combat,19,38988,1294987.892008917
77,Belleville,20,35773,806568.6457925463
78,Saint-Fargeau,20,42087,1486971.4627043
79,Père-Lachaise,20,42332,1599001.9731945726
80,Charonne,20,62901,2090903.9752174253
